author,text,likeCount,publishedAt
@semperoccultus,ROGER FEDERER? Mr Bilion dollar man. ROGER FEDERER? 1 from ABSOLUTE BIG NEGATIVE  PURPOSE FROM NIKE MANAGEMENT. ❤❤❤❤❤THANK FOR SHARE.,0,2024-08-31T06:19:12Z
@dansports3176,"<a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1470"">24:30</a> &quot;Left nothing on the court. Whatever game you chose, give it your best. Go for your shots, play free, try everything and most of all, be kind to: one another and have fun out there&quot;",0,2024-08-28T18:18:56Z
@Ben-bs4od,Sure. Because a tennis star definitely knows the meaning of life. So much wisdom.,0,2024-08-26T18:32:33Z
@kjzkitchen7001,I heard effortless is a myth… belief in yourself! Amplify my game and expand my options ❤,0,2024-08-23T23:03:42Z
@Akash_Tyagi_93,Who is talking in background? Come on!,0,2024-08-23T16:41:12Z
@tvyoutube7846,"Tennis is not my favorite sport—it&#39;s not even in my top 10 favorites. But it&#39;s always vivid in the background, and I can always appreciate that the three greatest of all time—Federer, Nadal, and Jokovic—have played the sport overlappingly.<br><br>But this speech, the fact that he won 80% of games with 54% of points, is among the most interesting things I&#39;ve heard in life. I will never forget it. Thank you, Tennis. Thank you, Federer.",0,2024-08-23T06:29:28Z
@xmrinmoy,Talent 9.47 ❤,0,2024-08-23T03:55:42Z
@xmrinmoy,"Truly inspiring  Dr Federer, what a effortless adress to be remembered for life.",0,2024-08-23T03:29:01Z
@rickyn4710,"And that end is why i love Roger. A man of absolute humility, gifted by God. Thank you.",3,2024-08-21T13:29:02Z
@realkingofantarctica,A more conventionally handsome Joaquin Phoenix.,0,2024-08-20T20:12:25Z
@slax4884,What&#39;s the sound in the background,0,2024-08-20T09:39:12Z
@moonchild7033,"Absolutely adore Roger Federer! What a wonderful, wonderful speech &amp; how lucky are the graduating students to have the honour of him addressing them! Wow.",2,2024-08-19T10:16:55Z
@СашаРожков-ю8ы,Легенда...❤,2,2024-08-18T21:27:05Z
@mp6646,"What an incredible speech, what a wonderful personality.<br><br>Roger displays a deep connection to his audience. He&#39;s all there for them, dedicated to give his very best. <br><br>Remember that he quit school at the age of sixteen and now is teaching some of the finest students at an Ivy League university. This also means a lot to him. And it&#39;s a fantastic proof that wisdom not only comes from text books or academia. It comes from living a life, from trying and failing, from listening and learning, applying and passing it on. <br><br>Thanks Roger for sharing. ❤",1,2024-08-17T12:38:15Z
@bigtexan7562,Let’s go Roger !!!!,1,2024-08-17T01:57:15Z
@urs1386,Truly incredible. ❤❤❤❤❤,1,2024-08-14T14:03:45Z
@zhouyi1933,"Damn, man on the bottom right is still teaching (assuming he&#39;s a lecturer)? Good on him.",0,2024-08-14T10:08:08Z
@SamehRashad-h1d,Quel génie Roger ❤ ! Le tennis après cet homme = nul !,0,2024-08-13T12:09:05Z
@olga_b344,Love this guy. How can you not like him?!! ❤❤❤❤,3,2024-08-12T15:43:50Z
@shakehgeorgian2077,"So humble… what a sportsman, a true example of a decent human being!!! 🫶🏻",4,2024-08-12T15:24:38Z
